tree_id,cx_px,cy_px,x1,y1,x2,y2,confidence
1,1279,1163,1148,1047,1410,1279,0.8303
2,2322,1115,2188,955,2456,1276,0.7687
3,2593,767,2403,603,2783,931,0.7686
4,2303,852,2186,710,2421,994,0.767
5,2260,3107,2048,2886,2472,3328,0.755
6,3443,1564,3182,1367,3705,1761,0.7363
7,2982,994,2797,819,3167,1170,0.7172
8,1565,1086,1423,896,1707,1276,0.6953
9,4264,1061,4211,1024,4317,1099,0.6757
10,2971,729,2791,573,3152,886,0.6645
11,3739,1202,3495,1056,3983,1349,0.6577
12,1116,3843,957,3716,1276,3971,0.6514
13,2137,918,2048,796,2227,1041,0.6366
14,3918,126,3725,3,4111,249,0.6272
15,2050,1425,1805,1160,2296,1691,0.6236
16,2145,375,1991,143,2300,608,0.6143
17,220,2232,0,2048,440,2417,0.6117
18,697,2062,396,1820,999,2304,0.6066
19,1802,754,1695,628,1909,880,0.5956
20,3404,1204,3225,1032,3583,1377,0.5911
21,2609,1027,2434,852,2785,1202,0.5834
22,1047,974,1024,910,1071,1039,0.5819
23,1128,1214,1091,1150,1166,1279,0.573
24,1281,1427,1170,1293,1393,1562,0.5632
25,1012,2091,780,1905,1244,2277,0.5554
26,2954,2047,2733,1800,3175,2294,0.5493
27,2090,2006,1877,1761,2304,2251,0.5473
28,984,1848,760,1632,1208,2064,0.523
29,1331,1914,1220,1756,1442,2073,0.5124
30,1029,1499,879,1303,1180,1695,0.5026
31,3249,1564,3172,1461,3327,1668,0.4998
32,2023,976,1805,752,2242,1201,0.4959
33,1589,2077,1359,1850,1819,2304,0.4947
34,3240,740,3154,570,3327,911,0.4916
35,3843,1530,3560,1323,4126,1737,0.4841
36,3396,938,3203,697,3589,1179,0.4771
37,1288,2986,1024,2734,1553,3239,0.4732
38,2141,2193,1981,2084,2301,2303,0.473
39,2093,3078,1886,2828,2300,3328,0.4698
40,1824,1172,1618,1066,2031,1279,0.468
41,2293,2263,2048,2048,2539,2479,0.4599
42,3903,1057,3869,1024,3937,1091,0.4568
43,1273,974,1181,879,1365,1069,0.4568
44,2232,836,2161,647,2303,1025,0.4561
45,2095,1732,1887,1500,2303,1964,0.4518
46,3015,2210,2849,2049,3181,2372,0.4494
47,3868,2089,3658,1924,4079,2254,0.4468
48,1166,2394,1025,2193,1308,2595,0.4451
49,1250,1920,1221,1805,1279,2036,0.444
50,3929,1701,3695,1563,4164,1839,0.444
51,1299,1669,1191,1524,1408,1815,0.437
52,4267,1841,4096,1568,4439,2115,0.4322
53,2234,1113,2165,949,2303,1277,0.4247
54,1061,2955,1002,2924,1121,2986,0.4229
55,2388,1265,2317,1251,2460,1279,0.4145
56,2985,1576,2783,1384,3187,1769,0.412
57,2264,1402,2049,1115,2479,1690,0.4074
58,2963,1822,2780,1657,3147,1988,0.4067
59,1232,1677,1186,1532,1279,1823,0.4042
60,3485,1923,3163,1620,3807,2226,0.3938
61,2659,2057,2467,1810,2852,2304,0.391
62,1598,2973,1299,2705,1898,3242,0.3907
63,1071,2978,867,2732,1276,3224,0.3859
64,2736,3271,2500,3072,2973,3470,0.3848
65,2507,1891,2211,1602,2803,2181,0.3846
66,1181,2636,1024,2486,1339,2786,0.3832
67,1385,768,1129,601,1641,936,0.3802
68,1351,2171,1242,2041,1460,2302,0.3778
69,1536,1851,1262,1568,1811,2135,0.3692
70,1962,708,1875,598,2050,819,0.3674
71,4209,1239,4130,1200,4288,1279,0.3645
72,3089,564,3072,538,3106,590,0.3645
73,3955,930,3695,638,4216,1222,0.3601
74,511,2364,224,2144,798,2584,0.3588
75,1123,1804,1024,1609,1223,1999,0.354
76,1448,2444,1288,2202,1608,2686,0.3534
77,1343,3548,1054,3331,1632,3765,0.3508
